trade_date,buy_date,sell_date,buy_price,sell_price,shares,buy_cost,sell_proceeds,gross_return,net_return,pnl,capital_before,capital_after,portfolio_value
2025-03-19,2025-03-19 00:00:00-04:00,2025-03-20 00:00:00-04:00,48.61000061035156,48.38999938964844,530,25765.876653518677,25644.13500654602,-0.004525842788330997,-0.004724917712280921,-121.74164697265587,51442.47093316949,25676.59427965081,25676.59427965081
2025-03-20,2025-03-20 00:00:00-04:00,2025-03-21 00:00:00-04:00,47.849998474121094,47.560001373291016,536,25650.16394204712,25489.611520010378,-0.006060545665156466,-0.006259313679221929,-160.5524220367406,51166.205799661184,25516.04185761407,25516.04185761407
2025-03-21,2025-03-21 00:00:00-04:00,2025-03-24 00:00:00-04:00,47.70000076293945,49.63999938964844,534,25474.347587450407,26505.10889810486,0.0406708300981049,0.040462716743420855,1030.7613106544522,52021.15075571893,26546.80316826852,26546.80316826852
2025-03-24,2025-03-24 00:00:00-04:00,2025-03-25 00:00:00-04:00,50.18000030517578,49.86000061035156,528,26497.689665148926,26323.4477142334,-0.006377036526068187,-0.006575741248290704,-174.2419509155261,52870.25088250192,26372.561217352995,26372.561217352995
2025-03-25,2025-03-25 00:00:00-04:00,2025-03-26 00:00:00-04:00,50.13999938964844,49.75,525,26326.132029533386,26116.138125,-0.007778208902989219,-0.007976633418756995,-209.99390453338492,52488.69934235299,26162.56731281961,26162.56731281961
2025-03-26,2025-03-26 00:00:00-04:00,2025-03-27 00:00:00-04:00,49.18000030517578,49.08000183105469,531,26117.191620064543,26058.87482419281,-0.0020333158499506914,-0.002232889229442625,-58.3167958717313,52221.44213701242,26104.25051694788,26104.25051694788
2025-03-27,2025-03-27 00:00:00-04:00,2025-03-28 00:00:00-04:00,49.439998626708984,48.470001220703125,527,26057.484764203262,25541.136274246215,-0.019619689177779173,-0.01981574563429797,-516.3484899570467,51645.38679119409,25587.902026990832,25587.902026990832
2025-03-28,2025-03-28 00:00:00-04:00,2025-03-31 00:00:00-04:00,47.560001373291016,46.880001068115234,537,25542.274709531022,25172.043117520523,-0.014297735187990537,-0.014494855928878898,-370.2315920104993,50759.94514451135,25217.670434980333,25217.670434980333
2025-03-31,2025-03-31 00:00:00-04:00,2025-04-01 00:00:00-04:00,46.810001373291016,47.529998779296875,538,25186.29911690445,25568.582229327392,0.01538127290926929,0.01517821696028227,382.2831124229415,50786.25266430773,25599.953547403275,25599.953547403275
2025-04-01,2025-04-01 00:00:00-04:00,2025-04-02 00:00:00-04:00,48.29999923706055,48.130001068115234,529,25553.254666364668,25458.224487976455,-0.0035196308826206577,-0.0037189070288294788,-95.03017838821324,51058.17803537973,25504.92336901506,25504.92336901506
2025-04-02,2025-04-02 00:00:00-04:00,2025-04-03 00:00:00-04:00,49.40999984741211,46.59000015258789,516,25498.109477256774,24038.03603472748,-0.05707346090938955,-0.05726202736056245,-1460.073442529294,49542.95940374254,24044.849926485767,24044.849926485767
2025-04-03,2025-04-03 00:00:00-04:00,2025-04-04 00:00:00-04:00,46.56999969482422,46.939998626708984,516,24032.52285451355,24218.6171874527,0.007945006104990103,0.007743437260653558,186.09433293914844,48263.467113938466,24230.944259424916,24230.944259424916
2025-04-04,2025-04-04 00:00:00-04:00,2025-04-07 00:00:00-04:00,47.709999084472656,43.68000030517578,507,24191.38843278122,22143.54557870865,-0.08446864088514411,-0.08465172884817071,-2047.842854072569,46374.489838133566,22183.101405352347,22183.101405352347
2025-04-07,2025-04-07 00:00:00-04:00,2025-04-08 00:00:00-04:00,44.27000045776367,45.540000915527344,501,22181.488156362535,22813.25890463333,0.028687608869020255,0.028481891918941363,631.7707482707956,44996.36030998568,22814.872153623142,22814.872153623142
